"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation"
"1",2025,1,107,NA,NA,NA,NA,0
"2",2026,1,110,NA,NA,NA,NA,0
"3",2027,1,111,NA,NA,NA,NA,0
"4",2028,1,111,NA,NA,NA,NA,0
"5",2029,1,107,NA,NA,NA,NA,0
"6",2030,1,107,NA,NA,NA,NA,0
"7",2031,1,107,NA,NA,NA,NA,0
"8",2032,1,109,NA,NA,NA,NA,0
"9",2033,1,111,NA,NA,NA,NA,0
"10",2034,1,109,NA,NA,NA,NA,0
"11",2035,1,109,NA,NA,NA,NA,0
"12",2036,1,108,NA,NA,NA,NA,0
"13",2037,1,108,NA,NA,NA,NA,0
"14",2038,1,106,NA,NA,NA,NA,0
"15",2039,1,109,NA,NA,NA,NA,0
"16",2040,1,109,NA,NA,NA,NA,0
"17",2041,1,107,NA,NA,NA,NA,0
"18",2042,1,104,NA,NA,NA,NA,0
"19",2043,1,104,NA,NA,NA,NA,0
"20",2044,1,109,NA,NA,NA,NA,0
"21",2045,1,108,NA,NA,NA,NA,0
"22",2046,1,106,NA,NA,NA,NA,0
"23",2047,1,108,NA,NA,NA,NA,0
"24",2048,1,107,NA,NA,NA,NA,0
"25",2049,1,108,NA,NA,NA,NA,0
"26",2050,1,108,NA,NA,NA,NA,0
"27",2051,1,107,NA,NA,NA,NA,0
"28",2052,1,106,NA,NA,NA,NA,0
"29",2053,1,107,NA,NA,NA,NA,0
"30",2054,1,108,NA,NA,NA,NA,0
"31",2055,1,106,NA,NA,NA,NA,0
"32",2056,1,105,NA,NA,NA,NA,0
"33",2057,1,108,NA,NA,NA,NA,0
"34",2058,1,109,NA,NA,NA,NA,0
"35",2059,1,108,NA,NA,NA,NA,0
"36",2060,1,104,NA,NA,NA,NA,0
"37",2061,1,105,NA,NA,NA,NA,0
"38",2062,1,107,NA,NA,NA,NA,0
"39",2063,1,104,NA,NA,NA,NA,0
"40",2064,1,104,NA,NA,NA,NA,0
"41",2065,1,106,NA,NA,NA,NA,0
"42",2066,1,106,NA,NA,NA,NA,0
"43",2067,1,103,NA,NA,NA,NA,0
"44",2068,1,105,NA,NA,NA,NA,0
"45",2069,1,106,NA,NA,NA,NA,0
"46",2070,1,105,NA,NA,NA,NA,0
"47",2071,1,108,NA,NA,NA,NA,0
"48",2072,1,106,NA,NA,NA,NA,0
"49",2073,1,106,NA,NA,NA,NA,0
"50",2074,1,102,NA,NA,NA,NA,0
"51",2075,1,105,NA,NA,NA,NA,0
"52",2076,1,108,NA,NA,NA,NA,0
"53",2077,1,106,NA,NA,NA,NA,0
"54",2078,1,105,NA,NA,NA,NA,0
"55",2079,1,105,NA,NA,NA,NA,0
"56",2080,1,107,NA,NA,NA,NA,0
"57",2081,1,107,NA,NA,NA,NA,0
"58",2082,1,105,NA,NA,NA,NA,0
"59",2083,1,108,NA,NA,NA,NA,0
"60",2084,1,106,NA,NA,NA,NA,0
"61",2085,1,107,NA,NA,NA,NA,0
"62",2086,1,105,NA,NA,NA,NA,0
"63",2087,1,106,NA,NA,NA,NA,0
"64",2088,1,106,NA,NA,NA,NA,0
"65",2089,1,107,NA,NA,NA,NA,0
"66",2090,1,107,NA,NA,NA,NA,0
"67",2091,1,105,NA,NA,NA,NA,0
"68",2092,1,104,NA,NA,NA,NA,0
"69",2093,1,105,NA,NA,NA,NA,0
"70",2094,1,106,NA,NA,NA,NA,0
"71",2095,1,108,NA,NA,NA,NA,0
"72",2096,1,107,NA,NA,NA,NA,0
"73",2097,1,104,NA,NA,NA,NA,0
"74",2098,1,108,NA,NA,NA,NA,0
"75",2099,1,106,NA,NA,NA,NA,0
"76",2100,1,109,NA,NA,NA,NA,0
"77",2025,2,110,NA,NA,NA,NA,0
"78",2026,2,111,NA,NA,NA,NA,0
"79",2027,2,107,NA,NA,NA,NA,0
"80",2028,2,108,NA,NA,NA,NA,0
"81",2029,2,112,NA,NA,NA,NA,0
"82",2030,2,107,NA,NA,NA,NA,0
"83",2031,2,109,NA,NA,NA,NA,0
"84",2032,2,107,NA,NA,NA,NA,0
"85",2033,2,106,NA,NA,NA,NA,0
"86",2034,2,108,NA,NA,NA,NA,0
"87",2035,2,107,NA,NA,NA,NA,0
"88",2036,2,107,NA,NA,NA,NA,0
"89",2037,2,109,NA,NA,NA,NA,0
"90",2038,2,106,NA,NA,NA,NA,0
"91",2039,2,107,NA,NA,NA,NA,0
"92",2040,2,106,NA,NA,NA,NA,0
"93",2041,2,107,NA,NA,NA,NA,0
"94",2042,2,109,NA,NA,NA,NA,0
"95",2043,2,107,NA,NA,NA,NA,0
"96",2044,2,109,NA,NA,NA,NA,0
"97",2045,2,106,NA,NA,NA,NA,0
"98",2046,2,106,NA,NA,NA,NA,0
"99",2047,2,108,NA,NA,NA,NA,0
"100",2048,2,107,NA,NA,NA,NA,0
