"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation","mean_April_temp"
"1",2025,1,107,128,118,138,2.23489155654545,0.11986065857143,5.8780796844
"2",2026,1,110,131,121,141,1.61482047109091,0.110864410952382,5.0055689208
"3",2027,1,111,132,122,142,2.00489650963636,0.120794884285715,4.6424042448
"4",2028,1,111,132,122,142,2.19369220254545,0.0938407423809533,4.7575589824
"5",2029,1,107,128,118,138,2.06038385509091,0.154461610952382,5.8112451768
"6",2030,1,107,128,118,138,1.88781821072727,0.121867513809525,5.962207748
"7",2031,1,107,128,118,138,1.70373894218182,0.123216950952382,5.7772684256
"8",2032,1,109,130,120,140,1.74923856545455,0.118511221428572,5.1342533228
"9",2033,1,111,132,122,142,2.27137448618182,0.145084752857144,4.7524726424
"10",2034,1,109,130,120,140,2.02015552963636,0.121037090952382,5.1932548668
"11",2035,1,109,130,120,140,2.18287217018182,0.11660816904762,5.3565263808
"12",2036,1,108,129,119,139,2.15845773818182,0.140517427142858,5.6764571668
"13",2037,1,108,129,119,139,1.97035563709091,0.116365962380953,5.6213212412
"14",2038,1,106,127,117,137,2.03694045163636,0.109549574761906,6.1373812976
"15",2039,1,109,130,120,140,1.585412178,0.109168964285715,5.2687361524
"16",2040,1,109,130,120,140,2.14042435090909,0.100587928095239,5.424072976
"17",2041,1,107,128,118,138,2.09867012345455,0.109895584285715,5.9106322604
"18",2042,1,104,125,115,135,2.06399053254545,0.131970991904763,6.796876142
"19",2043,1,104,125,115,135,2.45351169763636,0.107681123333334,6.8735781492
"20",2044,1,109,130,120,140,2.19161142709091,0.112836665238096,5.3861288796
"21",2045,1,108,129,119,139,1.70803921145455,0.131451977619048,5.6012810616
"22",2046,1,106,127,117,137,2.61317653418182,0.131590381428572,6.2484669632
"23",2047,1,108,129,119,139,2.49901132090909,0.126504041428573,5.44747014
"24",2048,1,107,128,118,138,2.00337060763636,0.115846948095239,5.9460331868
"25",2049,1,108,129,119,139,1.94275068272727,0.122282725238096,5.4823624324
"26",2050,1,108,129,119,139,2.26069317218182,0.146572593809524,5.7426813136
"27",2051,1,107,128,118,138,2.25972214363636,0.123839768095239,5.8505117216
"28",2052,1,106,127,117,137,1.77906301363636,0.123113148095239,6.1494867868
"29",2053,1,107,128,118,138,1.92707550763636,0.13006793952381,5.8801142204
"30",2054,1,108,129,119,139,1.96771998818182,0.122974744285715,5.5192892608
"31",2055,1,106,127,117,137,2.16927777054545,0.12058727857143,6.1088977936
"32",2056,1,105,126,116,136,2.259860862,0.124566388095239,6.4081780392
"33",2057,1,108,129,119,139,1.82692084909091,0.123735965238096,5.6016879688
"34",2058,1,109,130,120,140,2.13820485709091,0.143285503333334,5.252663318
