date,year,month,day,ordinalDay,scenario,tas,tasmin,pr
2000-04-01,2000,Apr,1,92,SSP585,-0.033176694056866296,-5.533675982539867,3.0037804076251398
2000-04-02,2000,Apr,2,93,SSP585,-0.12167901005686632,-5.399396606539867,4.080579762531039
2000-04-03,2000,Apr,3,94,SSP585,-0.07590195005686629,-6.174554822539867,3.6271905604653942
2000-04-04,2000,Apr,4,95,SSP585,-0.6771073380568663,-6.635377226539867,3.7027554274763492
2000-04-05,2000,Apr,5,96,SSP585,0.9708668219431338,-6.311886002539867,2.3614790380321
2000-04-06,2000,Apr,6,97,SSP585,0.5100444179431336,-6.3240932185398675,3.3438223091743584
2000-04-07,2000,Apr,7,98,SSP585,-0.3597197220568664,-6.247798118539867,3.91055881175643
2000-04-08,2000,Apr,8,99,SSP585,0.5680286939431336,-5.5672458265398665,2.474826338548539
2000-04-09,2000,Apr,9,100,SSP585,1.6880407619431337,-4.706637098539867,5.232943984447968
2000-04-10,2000,Apr,10,101,SSP585,0.7755513659431339,-5.664903554539867,2.8715418903560015
2000-04-11,2000,Apr,11,102,SSP585,1.2668918099431339,-6.400388318539867,1.6625040181809025
2000-04-12,2000,Apr,12,103,SSP585,1.0715763539431336,-5.136941462539867,4.231709496552938
2000-04-13,2000,Apr,13,104,SSP585,2.2556763059431333,-4.590668546539867,4.231709496552938
2000-04-14,2000,Apr,14,105,SSP585,0.14382793794313375,-5.875478030539867,2.9282155406141843
2000-04-15,2000,Apr,15,106,SSP585,-0.005710458056866319,-5.329205114539867,2.5126087720540107
2000-04-16,2000,Apr,16,107,SSP585,1.5201915419431338,-4.792087610539867,2.1914580872575034
2000-04-17,2000,Apr,17,108,SSP585,1.1967003179431337,-4.053551042539867,2.2670229542684464
2000-04-18,2000,Apr,18,109,SSP585,1.5934348379431336,-3.791095898539867,2.4370439050430552
2000-04-19,2000,Apr,19,110,SSP585,4.187468237943134,-3.772785074539867,2.9282155406141843
2000-04-20,2000,Apr,20,111,SSP585,6.158933621943134,-2.6283585745398668,3.0037804076251398
2000-04-21,2000,Apr,21,112,SSP585,6.039913265943134,-2.030204990539867,1.794742535450028
2000-04-22,2000,Apr,22,113,SSP585,4.605565385943134,-2.002738754539867,2.6637385060759216
2000-04-23,2000,Apr,23,114,SSP585,5.4570187019431335,-2.344540802539867,3.022671624377838
2000-04-24,2000,Apr,24,115,SSP585,5.719473845943133,-2.143121738539867,2.2859141710211572
2000-04-25,2000,Apr,25,116,SSP585,6.702154733943134,-2.500182806539867,2.3236966045266283
2000-04-26,2000,Apr,26,117,SSP585,6.018550637943133,-1.502242898539867,3.4193871761853014
2000-04-27,2000,Apr,27,118,SSP585,4.398042713943133,-1.682299334539867,2.059219569988365
2000-04-28,2000,Apr,28,119,SSP585,5.551624625943133,-1.044472298539867,2.418152688290282
2000-04-29,2000,Apr,29,120,SSP585,7.138562705943134,-1.685351138539867,3.0982364913887936
2000-04-30,2000,Apr,30,121,SSP585,8.368439717943133,-0.06484321453986697,6.139722388579259
2001-04-01,2001,Apr,1,91,SSP585,-1.3759704540568662,-6.995490098539867,1.6247215846754186
2001-04-02,2001,Apr,2,92,SSP585,-0.5702941980568663,-6.272212550539868,2.1536756537520194
2001-04-03,2001,Apr,3,93,SSP585,0.1835013899431337,-5.222391974539867,4.496186531091275
2001-04-04,2001,Apr,4,94,SSP585,0.5954949299431336,-5.054542754539867,5.100705467178757
2001-04-05,2001,Apr,5,95,SSP585,0.0827918579431337,-6.366818474539867,2.5881736390649657
2001-04-06,2001,Apr,6,96,SSP585,0.1987604099431337,-5.9731357585398674,2.5881736390649657
2001-04-07,2001,Apr,7,97,SSP585,0.9067789379431337,-5.362774958539867,2.30480538777393
2001-04-08,2001,Apr,8,98,SSP585,1.5079843259431336,-5.860219010539867,0.8123992643077822
2001-04-09,2001,Apr,9,99,SSP585,1.5751240139431337,-5.7411986545398666,3.306039875668874
2001-04-10,2001,Apr,10,100,SSP585,1.8680971979431338,-4.895848946539867,4.552860181349458
2001-04-11,2001,Apr,11,101,SSP585,1.4103265979431339,-4.847020082539867,3.5705169102072114
2001-04-12,2001,Apr,12,102,SSP585,0.4490083379431338,-4.193934026539867,2.3614790380321
2001-04-13,2001,Apr,13,103,SSP585,0.4093348859431336,-4.901952554539867,1.6625040181809025
2001-04-14,2001,Apr,14,104,SSP585,0.8823645059431338,-4.868382710539867,1.4547006339008095
