year,breedingSeasonStart,breedingSeasonEnd,breedingSeasonLength,tempIndex,precipIndex
2008,116,130,15,-1.846666667,0.269387755
2009,117,128,12,0.583333333,0.316402116
2010,99,126,28,-0.617857143,0.374829932
2011,120,141,22,3.113636364,0.24021164
2012,108,131,24,-0.279166667,0.264285714
2013,120,133,14,3.928571429,0.132879819
2014,121,139,19,1.952631579,0.456190476
2015,117,132,16,3.00625,0.157142857
2016,120,140,21,-1.042857143,0.319047619
2017,115,135,21,1.480952381,0.367619048
2018,128,149,22,2.677272727,0.361111111
2019,129,144,16,2.073333333,0.152380952
2020,117,NA,NA,-1.6,0.121768707
2021,100,129,30,-0.38,0.265187345
2022,108,148,41,1.25,0.179365079
