date,day,month,year,tas,tasmin,pr,complete,empty
2005-03-01,1,Mar,2005,-7.2,-9.3,2.4,TRUE,FALSE
2005-03-02,2,Mar,2005,-10.6,-14.5,0.3,TRUE,FALSE
2005-03-03,3,Mar,2005,-11.9,-17.7,0.3,TRUE,FALSE
2005-03-04,4,Mar,2005,-11.6,-22.7,0,TRUE,FALSE
2005-03-05,5,Mar,2005,-10.6,-23.4,0.3,TRUE,FALSE
2005-03-06,6,Mar,2005,-3.5,-8.7,1.8,TRUE,FALSE
2005-03-07,7,Mar,2005,-12.8,-17,21.6,TRUE,FALSE
2005-03-08,8,Mar,2005,-20.2,-27.8,0.9,TRUE,FALSE
2005-03-09,9,Mar,2005,-19.2,-27.7,NA,FALSE,FALSE
2005-03-10,10,Mar,2005,-20,-34.5,0.6,TRUE,FALSE
2005-03-11,11,Mar,2005,-10.8,-19.5,0.6,TRUE,FALSE
2005-03-12,12,Mar,2005,-9.8,-19.6,1.3,TRUE,FALSE
2005-03-13,13,Mar,2005,-11.7,-20.8,0.3,TRUE,FALSE
2005-03-14,14,Mar,2005,-12.1,-25.8,0,TRUE,FALSE
2005-03-15,15,Mar,2005,-10.2,-22.9,0,TRUE,FALSE
2005-03-16,16,Mar,2005,-10.7,-21.9,0,TRUE,FALSE
2005-03-17,17,Mar,2005,-11.3,-23.5,0,TRUE,FALSE
2005-03-18,18,Mar,2005,-9.7,-20.5,0,TRUE,FALSE
2005-03-19,19,Mar,2005,-9.1,-21.7,0.3,TRUE,FALSE
2005-03-20,20,Mar,2005,-4.9,-15.1,0,TRUE,FALSE
2005-03-21,21,Mar,2005,-4,-14.1,0.3,TRUE,FALSE
2005-03-22,22,Mar,2005,-4.9,-16,1.3,TRUE,FALSE
2005-03-23,23,Mar,2005,-7.7,-16.9,0,TRUE,FALSE
2005-03-24,24,Mar,2005,-3.5,-14.6,0.3,TRUE,FALSE
2005-03-25,25,Mar,2005,-7,-14.9,0.5,TRUE,FALSE
2005-03-26,26,Mar,2005,-6.7,-19.5,0.5,TRUE,FALSE
2005-03-27,27,Mar,2005,-2.7,-15,0.3,TRUE,FALSE
2005-03-28,28,Mar,2005,0.5,-7,0,TRUE,FALSE
2005-03-29,29,Mar,2005,4.1,-6,0,TRUE,FALSE
2005-03-30,30,Mar,2005,2.8,-6.1,0,TRUE,FALSE
2005-03-31,31,Mar,2005,5.3,-2,NA,FALSE,FALSE
2005-04-01,1,Apr,2005,2.2,-1.7,0,TRUE,FALSE
2005-04-02,2,Apr,2005,0.1,-1.2,0,TRUE,FALSE
2005-04-03,3,Apr,2005,0.5,-0.3,0,TRUE,FALSE
2005-04-04,4,Apr,2005,-0.8,-5.9,0,TRUE,FALSE
2005-04-05,5,Apr,2005,-0.1,-8.8,0,TRUE,FALSE
2005-04-06,6,Apr,2005,5.1,-0.3,0,TRUE,FALSE
2005-04-07,7,Apr,2005,0.6,-3,0,TRUE,FALSE
2005-04-08,8,Apr,2005,1.8,-6.5,0.3,TRUE,FALSE
2005-04-09,9,Apr,2005,2.4,-8.6,NA,FALSE,FALSE
2005-04-10,10,Apr,2005,3,-5.6,0,TRUE,FALSE
2005-04-11,11,Apr,2005,0.4,-6.8,0,TRUE,FALSE
2005-04-12,12,Apr,2005,1.4,-6.9,0.3,TRUE,FALSE
2005-04-13,13,Apr,2005,2.8,-7,0.3,TRUE,FALSE
2005-04-14,14,Apr,2005,3,-5.3,1.7,TRUE,FALSE
2005-04-15,15,Apr,2005,2.4,-8.4,0.3,TRUE,FALSE
2005-04-16,16,Apr,2005,5.3,-7.8,0.3,TRUE,FALSE
2005-04-17,17,Apr,2005,7.5,-3.9,0.3,TRUE,FALSE
2005-04-18,18,Apr,2005,7.9,-4.1,0.3,TRUE,FALSE
2005-04-19,19,Apr,2005,11.1,-2.6,0.3,TRUE,FALSE
2005-04-20,20,Apr,2005,3.7,-2.9,15.7,TRUE,FALSE
2005-04-21,21,Apr,2005,1.7,-5.6,0,TRUE,FALSE
2005-04-22,22,Apr,2005,4.1,-6.1,0.6,TRUE,FALSE
2005-04-23,23,Apr,2005,4.5,1.8,6.1,TRUE,FALSE
2005-04-24,24,Apr,2005,5.5,2,NA,FALSE,FALSE
2005-04-25,25,Apr,2005,2.3,-0.2,0.9,TRUE,FALSE
2005-04-26,26,Apr,2005,6.6,-0.6,0.3,TRUE,FALSE
2005-04-27,27,Apr,2005,6.8,0.2,3.1,TRUE,FALSE
