"date","year","month","day","ordinalDay","scenario","tas","tasmin","pr"
2000-04-01,2000,"Apr",1,92,"SSP585",1.347371466,-3.630120858,2.42624633000003
2000-04-02,2000,"Apr",2,93,"SSP585",1.25886915,-3.495841482,3.29601047
2000-04-03,2000,"Apr",3,94,"SSP585",1.30464621,-4.270999698,2.92979399000001
2000-04-04,2000,"Apr",4,95,"SSP585",0.703440822,-4.731822102,2.99083007000002
2000-04-05,2000,"Apr",5,96,"SSP585",2.351414982,-4.408330878,1.90743965000001
2000-04-06,2000,"Apr",6,97,"SSP585",1.890592578,-4.420538094,2.70090869000001
2000-04-07,2000,"Apr",7,98,"SSP585",1.020828438,-4.344242994,3.15867929000001
2000-04-08,2000,"Apr",8,99,"SSP585",1.948576854,-3.663690702,1.99899377000003
2000-04-09,2000,"Apr",9,100,"SSP585",3.068588922,-2.803081974,4.22681069000004
2000-04-10,2000,"Apr",10,101,"SSP585",2.156099526,-3.76134843,2.31943319000004
2000-04-11,2000,"Apr",11,102,"SSP585",2.64743997,-4.496833194,1.34285591000003
2000-04-12,2000,"Apr",12,103,"SSP585",2.452124514,-3.233386338,3.41808263000001
2000-04-13,2000,"Apr",13,104,"SSP585",3.636224466,-2.687113422,3.41808263000001
2000-04-14,2000,"Apr",14,105,"SSP585",1.524376098,-3.971922906,2.36521025000002
2000-04-15,2000,"Apr",15,106,"SSP585",1.374837702,-3.42564999,2.02951181000003
2000-04-16,2000,"Apr",16,107,"SSP585",2.900739702,-2.888532486,1.77010847000003
2000-04-17,2000,"Apr",17,108,"SSP585",2.577248478,-2.149995918,1.83114455000003
2000-04-18,2000,"Apr",18,109,"SSP585",2.973982998,-1.887540774,1.96847573000002
2000-04-19,2000,"Apr",19,110,"SSP585",5.568016398,-1.86922995,2.36521025000002
2000-04-20,2000,"Apr",20,111,"SSP585",7.539481782,-0.72480345,2.42624633000003
2000-04-21,2000,"Apr",21,112,"SSP585",7.420461426,-0.126649866,1.44966905000001
2000-04-22,2000,"Apr",22,113,"SSP585",5.986113546,-0.09918363,2.15158397000005
2000-04-23,2000,"Apr",23,114,"SSP585",6.837566862,-0.440985678,2.44150535
2000-04-24,2000,"Apr",24,115,"SSP585",7.100022006,-0.239566614,1.84640357000001
2000-04-25,2000,"Apr",25,116,"SSP585",8.082702894,-0.596627682,1.87692161000001
2000-04-26,2000,"Apr",26,117,"SSP585",7.399098798,0.401312226,2.76194477000001
2000-04-27,2000,"Apr",27,118,"SSP585",5.778590874,0.22125579,1.66329533000004
2000-04-28,2000,"Apr",28,119,"SSP585",6.932172786,0.859082826,1.95321670999999
2000-04-29,2000,"Apr",29,120,"SSP585",8.519110866,0.218203986,2.50254143000001
2000-04-30,2000,"Apr",30,121,"SSP585",9.748987878,1.83871191,4.95924365000002
2001-04-01,2001,"Apr",1,91,"SSP585",0.004577706,-5.091934974,1.31233787000002
2001-04-02,2001,"Apr",2,92,"SSP585",0.810253962,-4.368657426,1.73959043000002
2001-04-03,2001,"Apr",3,93,"SSP585",1.56404955,-3.31883685,3.63170891000004
2001-04-04,2001,"Apr",4,94,"SSP585",1.97604309,-3.15098763,4.11999754999999
2001-04-05,2001,"Apr",5,95,"SSP585",1.463340018,-4.46326335,2.09054789000004
2001-04-06,2001,"Apr",6,96,"SSP585",1.57930857,-4.069580634,2.09054789000004
2001-04-07,2001,"Apr",7,97,"SSP585",2.287327098,-3.459219834,1.86166259000004
2001-04-08,2001,"Apr",8,98,"SSP585",2.888532486,-3.956663886,0.65620001000002
2001-04-09,2001,"Apr",9,99,"SSP585",2.955672174,-3.83764353,2.67039065
2001-04-10,2001,"Apr",10,100,"SSP585",3.248645358,-2.992293822,3.67748597000002
2001-04-11,2001,"Apr",11,101,"SSP585",2.790874758,-2.943464958,2.88401693000003
2001-04-12,2001,"Apr",12,102,"SSP585",1.829556498,-2.290378902,1.90743965000001
2001-04-13,2001,"Apr",13,103,"SSP585",1.789883046,-2.99839743,1.34285591000003
2001-04-14,2001,"Apr",14,104,"SSP585",2.262912666,-2.964827586,1.17500669000003
2001-04-15,2001,"Apr",15,105,"SSP585",3.511100502,-1.25886915,2.44150535
2001-04-16,2001,"Apr",16,106,"SSP585",4.399175466,-0.58747227,3.69274498999999
