year,scenario,breedingSeasonStart,breedingSeasonEnd,tempIndex,precipIndex,survivorship,survivorshipT,survivorshipP
2000,SSP126,116,138,0.05553227450057209,0.16461333879637918,0.7098868971061189,0.7919679662415808,0.6280125498447239
2001,SSP126,119,141,1.3363912097837447,0.2081405575063384,0.6356697083615002,0.691538675105023,0.6715027716263728
2002,SSP126,119,141,2.022250987001136,0.2969788973324033,0.6600469442343343,0.6280332442528552,0.7512721991059075
2003,SSP126,117,139,0.9673069238812889,0.28324284880508577,0.7387053839507075,0.7231021463528127,0.739821862538902
2004,SSP126,114,136,0.04377443085898605,0.20257478199916093,0.7439355435157222,0.7927676505145398,0.6660847612604136
2005,SSP126,117,139,1.1647453739682456,0.14163667580522532,0.5830510462388971,0.7064658519066029,0.6041349315626412
2006,SSP126,114,136,0.2324962184189095,0.17823586626149282,0.707142310218857,0.7796575894603333,0.6418877949501017
2007,SSP126,115,137,0.5024225298049201,0.3575423840210562,0.8260602557805533,0.7598914942759275,0.7976333943004976
2008,SSP126,117,139,0.5871176071039741,0.1534708099210715,0.651606787410308,0.7534451677850421,0.616503095944164
2009,SSP126,117,139,1.2854906626638973,0.34068450628297686,0.7613605785511602,0.6960090774809508,0.7854110022110155
2010,SSP126,115,137,0.7435150458049201,0.2595169468033364,0.7364304371148034,0.7412388040546186,0.7192560396771384
2011,SSP126,115,137,1.2814286725875288,0.27313947426845037,0.7037024505184954,0.6963642514675248,0.7311846749482791
2012,SSP126,114,136,1.0015101383372471,0.46097899187073976,0.8589032753397325,0.7202621297427255,0.8613015520707821
2013,SSP126,116,138,0.42178944258223494,0.31379515068099934,0.8020308451858645,0.7659206457975188,0.7648239946495061
2014,SSP126,117,139,0.771858780750854,0.3058984093631312,0.7719955198109282,0.7389850395729448,0.7585245982648222
2015,SSP126,112,134,0.9214591106034103,0.15462348532196654,0.6208031659322224,0.7268810180777161,0.6177000505547152
2016,SSP126,115,137,0.4859286375493443,0.24619714217078165,0.7456313592892393,0.7611333795340516,0.7072856873275424
2017,SSP126,119,141,1.547363747175049,0.27450172701496556,0.6815796493645275,0.6726305120740125,0.7323597552045902
2018,SSP126,116,138,0.3696434003213652,0.24411592269694682,0.7529434079838292,0.7697633666213418,0.7053885073500022
2019,SSP126,115,137,0.9643064308483983,0.3488706362133992,0.7906596850688336,0.723350437614236,0.7914121021391398
2020,SSP126,114,136,1.330441534685073,0.21289763058939154,0.6410636838319507,0.6920630905452138,0.6760977124704384
2021,SSP126,113,135,-0.08838195105405736,0.23054637172752748,0.7762743924301676,0.8015997424861049,0.6928456602135213
2022,SSP126,114,136,0.8403359629406488,0.1858417774295194,0.6600888962141496,0.7334879142643302,0.6495343368586151
2023,SSP126,112,134,0.5032292754729756,0.19791285037776765,0.7018449805116243,0.7598306383033986,0.6615125384251539
2024,SSP126,112,134,1.2390714127826172,0.3244509943870479,0.7517563202099131,0.7000539020121036,0.7731424341503178
2025,SSP126,111,133,1.1589283860000086,0.34817689638878324,0.7765027427994771,0.7069642793961461,0.7909083640413757
2026,SSP126,112,134,0.4773552850381931,0.2836590926998427,0.7761944667324022,0.7617771551113731,0.7401738165552848
2027,SSP126,116,138,1.7941724326691917,0.3377707990196041,0.718505352755026,0.6497808715212703,0.7832449685973331
2028,SSP126,113,135,1.0313240546034104,0.27550071236240303,0.726862398422128,0.7177720929914093,0.7332194062513424
2029,SSP126,110,132,0.9476497862661719,0.24025080081696257,0.7023344272668053,0.7247262744251352,0.7018462568925707
2030,SSP126,109,131,0.48970581105407446,0.2767216944537246,0.7699505461715201,0.760849371910457,0.7342677023844497
2031,SSP126,111,133,0.6370699020000085,0.3812682860227921,0.8329338259499343,0.7495890185199887,0.8139429189845319
2032,SSP126,116,138,1.8761323911962244,0.4093647489195907,0.7716783639523224,0.6420318624483862,0.8319222987564212
2033,SSP126,114,136,1.2153097935493444,0.3551890050775605,0.7778030535453284,0.7021124662783914,0.7959588379087824
2034,SSP126,115,137,1.7013834404136157,0.2578519712242684,0.6511727561704571,0.6584591189464272,0.7177761550333517
2035,SSP126,109,131,0.5876289133149439,0.15462348532196415,0.6527079769477826,0.7534058997382362,0.6177000505547128
2036,SSP126,110,132,0.6782542234019007,0.3149152251614659,0.7854873875674554,0.7463796677770342,0.7657082251002775
2037,SSP126,109,131,0.4171259507062483,0.233043835096133,0.7400223493344882,0.7662661116953936,0.6951764352978588
2038,SSP126,114,136,1.813596064679779,0.3026549504428667,0.6845379872855609,0.6479513929527068,0.7559041377296883
2039,SSP126,113,135,0.7507314618155078,0.27450172701496306,0.7484510167514319,0.7406661913273963,0.732359755204588
2040,SSP126,116,138,1.958796473457094,0.3936664077455078,0.7529949067414169,0.6341403872535314,0.8220535584116483
2041,SSP126,109,131,1.0743253077497268,0.21905804023195197,0.6710494398732368,0.7141570748259728,0.6819979809128599
2042,SSP126,107,129,0.8673846952385752,0.36119493034595623,0.8058295016214301,0.7312963338838591,0.8002120263897932
2043,SSP126,107,129,1.4823895448037925,0.25785197122427245,0.6714454989874458,0.678517462768365,0.7177761550333553
2044,SSP126,116,138,2.040000997283181,0.22804890835892797,0.5874025503235029,0.6263174649643908,0.6905049976430875
2045,SSP126,112,134,0.7329106982555842,0.3505783034739804,0.8072236361962402,0.7420787499370175,0.7926482629047672
2046,SSP126,111,133,1.4000209020000085,0.3480633753265778,0.7586394300843984,0.6858995037468029,0.7908258490245781
2047,SSP126,114,136,1.9668497003319532,0.2809951317733378,0.6493451960118706,0.6333676475915768,0.7379159770448163
2048,SSP126,109,131,0.45118585514632487,0.13781588743985462,0.6487398587071005,0.7637348409281173,0.600112259446411
2049,SSP126,113,135,1.5193880084242035,0.25552100541357203,0.6657869467105326,0.6751720411841533,0.7156963842984712
2050,SSP126,113,135,1.5871911320763774,0.45165512862795365,0.8209966933337864,0.6689947733773433,0.8563336918704538
2051,SSP126,109,131,0.9761368312279876,0.2735935585172889,0.7297184238324221,0.7223706729705248,0.7315767306515789
2052,SSP126,108,130,0.300014525499445,0.3456342718166008,0.8305177866705502,0.7748251296406926,0.7890544684903128
