x,y,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_TEMPERATURE,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,SPEED_MAX_GUST,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_DATE,SNOW_ON_GROUND,LOCAL_MONTH,LOCAL_YEAR,COOLING_DEGREE_DAYS,ID,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,PROVINCE_CODE,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY,STATION_NAME,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,2,M,,,6080192,,,0,,,,,0,M,,M,2004-09-02,,9,2004,,6080192.2004.9.2,M,M,ON,,M,,ALGONQUIN PARK EAST GATE,,M,,M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,3,,,,6080192,,,0,0,26.8,1,99,0,,7.2,M,2004-09-03,,9,2004,0,6080192.2004.9.3,,,ON,17,M,50,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,4,,,,6080192,,,0,0,20.6,2.4,99,0,,10.6,M,2004-09-04,,9,2004,0,6080192.2004.9.4,,,ON,15.6,M,74,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,5,,,,6080192,,,0,0,25.8,0,99,0,,10.2,M,2004-09-05,,9,2004,0,6080192.2004.9.5,,,ON,18,M,53,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,6,,,,6080192,,,0,0,23.8,0,93,0,,17,M,2004-09-06,,9,2004,2.4,6080192.2004.9.6,,,ON,20.4,M,66,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,7,M,,,6080192,,,0,,23,3.1,,0,,6.7,M,2004-09-07,,9,2004,0,6080192.2004.9.7,,,ON,14.9,M,,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,8,,,,6080192,,,0,0,18.6,6.6,99,0,,4.1,M,2004-09-08,,9,2004,0,6080192.2004.9.8,,,ON,11.4,M,52,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,9,,,,6080192,,,0,16.6,13.7,5.8,97,0,,10.6,M,2004-09-09,,9,2004,0,6080192.2004.9.9,,,ON,12.2,M,80,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,10,M,,,6080192,,,0,,21.4,5.6,,0,,3.4,M,2004-09-10,,9,2004,0,6080192.2004.9.10,,,ON,12.4,M,,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
