Spring.Data.Year,Summer.Fall.Temp,Winter.Temp,Spring.Min.Temp,Winter.Length,Snow.On.Ground,Summer.Fall.Precipitation,Spring.Precipitation
,,,,,,,
2008,13.4601626,-7.103496503,-1.846666667,142,34.79844961,2.694624,5.3466667
,,,,,,,
2009,12.49186992,-7.39858156,0.583333333,140,29.67889908,2.892437,1.6166667
,,,,,,,
2010,11.98780488,-5.604385965,-0.617857143,113,32.23076923,2.365574,1.2857143
,,,,,,,
2011,13.54871795,-7.312306,3.113636364,141,29.88617886,3.799138,0.7590909
,,,,,,,
2012,14.42786885,-4.323233,-0.279166667,115,38.18604651,1.864754,3.7791667
,,,,,,,
2013,13.58559322,-6.094981,3.928571429,125,30.88392857,2.689655,2.8142857
,,,,,,,
2014,13.85166667,-9.661288,1.952631579,153,45.42335766,2.428814,3.1277778
,,,,,,,
2015,13.05528455,-9.228571429,3.00625,149,32.33333333,2.602521,3.38
,,,,,,,
2016,14.32393162,-6.221929825,-1.042857143,116,32.0462963,2.582301,1.8714286
,,,,,,,
2017,14.55081967,-5.534351145,1.480952381,130,36.8677686,2.327273,7.18
,,,,,,,
2018,14.18083333,-7.040136054,2.677272727,148,21.77142857,3.619328,1.6909091
,,,,,,,
2019,14.17704918,-7.24516129,2.073333333,156,47.09150327,2.490833,3.2769231
,,,,,,,
2020,13.41626016,-5.431506849,-1.6,145,40.75177305,2.2345,2.1316904
,,,,,,,
2021,13.19237288,-6.476923077,-0.38,116,40.54901961,2.745371,2.2
,,,,,,,
2022,14.67235772,-8.637288136,1.25,117,24.77669903,3.843443,3.9388889
