year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2000,SSP126,116,138,0.050072837744102636,0.1681658110770481,0.7135531313150447,2.892282620343133,116,138,128,148
2001,SSP126,119,141,1.3296471996728114,0.21156196751062104,0.6397875891261497,1.9261832007431334,119,141,131,151
2002,SSP126,119,141,2.0155069768902028,0.3001328113791434,0.6637726091891066,2.0422534795431337,119,141,131,151
2003,SSP126,117,139,0.9612052004475874,0.28643812266855434,0.7418900454340377,2.8170047883431333,117,139,129,149
2004,SSP126,114,136,0.03895728077974827,0.20601295078632575,0.7471796280585664,3.561136330343133,114,136,126,146
2005,SSP126,117,139,1.1586436505345439,0.1452583317793309,0.5875265345365515,2.8057131135431335,117,139,129,149
2006,SSP126,114,136,0.2273579250010559,0.18174732054210044,0.7107647535704851,3.6410935951431336,114,136,126,146
2007,SSP126,115,137,0.4969630930484505,0.36051393887585725,0.8282499618230306,3.4538145563431337,115,137,127,147
2008,SSP126,117,139,0.5813370270088888,0.15705683282230334,0.6557155249503492,2.6695009283431337,117,139,129,149
2009,SSP126,117,139,1.2793889392301963,0.34370682091285376,0.7642202652526466,2.7969646087431337,117,139,129,149
2010,SSP126,115,137,0.7380556090484504,0.2340109810390987,0.7145656734760155,3.3817919819431337,115,137,127,147
2011,SSP126,115,137,1.2759692358310593,0.25365386787651684,0.6860280085363559,3.4905379311431335,115,137,127,147
2012,SSP126,114,136,0.9966929882580089,0.46363909477229764,0.8605532236345557,3.6492317391431333,114,136,126,146
2013,SSP126,116,138,0.41600886248714936,0.3168984302854415,0.8045633700513335,2.937144139143134,116,138,128,148
2014,SSP126,117,139,0.7657570573171527,0.2708759764065099,0.7442587020665618,2.6885238399431337,117,139,129,149
2015,SSP126,112,134,0.9169631038627883,0.15820603746934708,0.6249381146506693,4.406791218743134,112,134,124,144
2016,SSP126,115,137,0.4807903441314906,0.24950396220663912,0.7487776104961428,3.4173963619431333,115,137,127,147
2017,SSP126,119,141,1.540619737064116,0.2777233207618068,0.6852460407965184,2.0356412375431336,119,141,131,151
2018,SSP126,116,138,0.36386282022627975,0.24742900937170254,0.7560828608864323,2.965322462743133,116,138,128,148
2019,SSP126,115,137,0.9588469940919288,0.3170644265122415,0.7669885217977935,3.3523929367431333,115,137,127,147
2020,SSP126,114,136,1.325624384605835,0.216304716847621,0.6449578386109619,3.813113613943133,114,136,126,146
2021,SSP126,113,135,-0.0931991011332953,0.2339003168878998,0.779166676496959,3.8636718335431337,113,135,125,145
2022,SSP126,114,136,0.835197669522795,0.18933032999342614,0.6639943697945998,3.5635777735431335,114,136,126,146
2023,SSP126,112,134,0.4987332687323535,0.2013650564360646,0.7053963833932461,4.210865401943134,112,134,124,144
2024,SSP126,112,134,1.234896549380611,0.32752218880033107,0.7545863001383545,4.267120322343134,112,134,124,144
2025,SSP126,111,133,1.1547535225980021,0.35117665111862645,0.7790794653748383,4.7236702007431335,111,133,123,143
2026,SSP126,112,134,0.47285927829757096,0.2650820696443314,0.7620303971014128,4.3977375335431335,112,134,124,144
